foto,version,archivo,descargas
2026-08-20,v0.2.0,mcp_pjud-0.2.0-py3-none-any.whl,0
2026-08-20,v0.2.0,mcp_pjud-0.2.0.tar.gz,0
2026-08-20,v0.2.0,sbom.spdx.json,0
2026-08-20,v0.2.1,mcp_pjud-0.2.1-py3-none-any.whl,0
2026-08-20,v0.2.1,mcp_pjud-0.2.1.tar.gz,0
2026-08-20,v0.2.1,sbom.spdx.json,0
2026-08-20,v0.3.0,mcp_pjud-0.3.0-py3-none-any.whl,0
2026-08-20,v0.3.0,mcp_pjud-0.3.0.tar.gz,0
2026-08-20,v0.3.0,sbom.spdx.json,0
2026-08-20,v0.4.0,mcp_pjud-0.4.0-py3-none-any.whl,0
2026-08-20,v0.4.0,mcp_pjud-0.4.0.tar.gz,0
2026-08-20,v0.4.0,sbom.spdx.json,0
2026-08-20,v0.5.0,mcp_pjud-0.5.0-py3-none-any.whl,0
2026-08-20,v0.5.0,mcp_pjud-0.5.0.tar.gz,0
2026-08-20,v0.5.0,sbom.spdx.json,0
